DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,Working_Population,Houses,CPI,UNRATE,Construction_Materials,FEDFUNDS,Num_Households,Income,Subsidy,old_percent
2005-12-01,180.91,2005,12,54723.666666666664,192145058.962593,4.9,198.1,4.9,173.5,4.16,113343.0,66780.0,27.651,12.3601628768533
2006-01-01,182.321,2006,1,54927.0,192350560.3665,5.3,199.3,4.7,177.2,4.29,114384.0,67520.0,28.604,12.422071948027
2006-02-01,183.287,2006,2,54933.0,192542668.33467495,6.1,199.4,4.8,177.7,4.49,114384.0,67520.0,28.604,12.422071948027
2006-03-01,184.364,2006,3,54939.0,192688773.082679,5.9,199.7,4.7,178.3,4.59,114384.0,67520.0,28.604,12.422071948027
2006-04-01,184.329,2006,4,54945.0,192815179.50508305,6.3,200.7,4.7,179.0,4.79,114384.0,67520.0,28.604,12.422071948027
2006-05-01,184.156,2006,5,54925.333333333336,192912881.347801,6.2,201.3,4.6,179.9,4.94,114384.0,67520.0,28.604,12.422071948027
2006-06-01,183.507,2006,6,54905.666666666664,193147759.188992,6.3,201.8,4.6,180.7,4.99,114384.0,67520.0,28.604,12.422071948027
2006-07-01,183.068,2006,7,54886.0,193315722.206678,7.3,202.9,4.7,182.3,5.24,114384.0,67520.0,28.604,12.422071948027
2006-08-01,182.594,2006,8,54996.0,193456189.209716,6.7,203.8,4.7,182.6,5.25,114384.0,67520.0,28.604,12.422071948027
2006-09-01,182.798,2006,9,55106.0,193557903.088906,6.7,202.8,4.5,183.3,5.25,114384.0,67520.0,28.604,12.422071948027
2006-10-01,183.198,2006,10,55216.0,193702904.57828,7.3,201.9,4.4,182.3,5.25,114384.0,67520.0,28.604,12.422071948027
2006-11-01,183.609,2006,11,55230.666666666664,193948914.748138,6.6,202.0,4.5,179.8,5.25,114384.0,67520.0,28.604,12.422071948027
2006-12-01,184.139,2006,12,55245.333333333336,194181049.427418,6.5,203.1,4.4,179.8,5.24,114384.0,67520.0,28.604,12.422071948027
2007-01-01,184.517,2007,1,55260.0,194950822.52520895,7.2,203.437,4.6,181.1,5.25,116011.0,68610.0,29.512,12.507803700301
2007-02-01,184.598,2007,2,55331.333333333336,195126880.627733,7.9,204.226,4.5,181.5,5.26,116011.0,68610.0,29.512,12.507803700301
2007-03-01,184.15,2007,3,55402.666666666664,195232897.83557,7.9,205.288,4.4,182.5,5.26,116011.0,68610.0,29.512,12.507803700301
2007-04-01,183.01,2007,4,55474.0,195285714.737398,7.4,205.904,4.5,183.7,5.25,116011.0,68610.0,29.512,12.507803700301
2007-05-01,181.6,2007,5,55532.333333333336,195379018.833646,7.8,206.755,4.4,184.0,5.25,116011.0,68610.0,29.512,12.507803700301
2007-06-01,180.254,2007,6,55590.666666666664,195626634.046856,8.2,207.234,4.6,184.0,5.25,116011.0,68610.0,29.512,12.507803700301
2007-07-01,179.111,2007,7,55649.0,195763535.11075,8.3,207.603,4.7,184.2,5.26,116011.0,68610.0,29.512,12.507803700301
2007-08-01,178.116,2007,8,55718.333333333336,195850863.946078,9.2,207.667,4.6,183.9,5.02,116011.0,68610.0,29.512,12.507803700301
2007-09-01,177.558,2007,9,55787.666666666664,195982436.044094,9.2,208.547,4.7,183.4,4.94,116011.0,68610.0,29.512,12.507803700301
2007-10-01,176.62400000000002,2007,10,55857.0,196078651.47493,8.5,209.19,4.7,183.0,4.76,116011.0,68610.0,29.512,12.507803700301
2007-11-01,175.14700000000002,2007,11,55737.0,196221175.760461,9.4,210.834,4.7,183.3,4.49,116011.0,68610.0,29.512,12.507803700301
2007-12-01,174.342,2007,12,55617.0,196455828.256626,9.6,211.445,5.0,183.5,4.24,116011.0,68610.0,29.512,12.507803700301
2008-01-01,173.132,2008,1,55497.0,196086203.524982,9.3,212.174,5.0,184.3,3.94,116783.0,66280.0,29.876,12.6708585039901
2008-02-01,171.541,2008,2,55566.333333333336,196235085.354875,9.7,212.687,4.9,185.7,2.98,116783.0,66280.0,29.876,12.6708585039901
2008-03-01,170.053,2008,3,55635.666666666664,196400619.620712,10.5,213.448,5.1,187.8,2.61,116783.0,66280.0,29.876,12.6708585039901
2008-04-01,168.338,2008,4,55705.0,196184860.473712,10.3,213.942,5.0,190.9,2.28,116783.0,66280.0,29.876,12.6708585039901
2008-05-01,166.65900000000002,2008,5,55562.666666666664,196464924.349443,10.7,215.208,5.4,195.8,1.98,116783.0,66280.0,29.876,12.6708585039901
2008-06-01,165.017,2008,6,55420.333333333336,196572656.95004705,10.7,217.463,5.6,200.4,2.0,116783.0,66280.0,29.876,12.6708585039901
2008-07-01,163.566,2008,7,55278.0,196674352.76027095,10.5,219.016,5.8,203.4,2.01,116783.0,66280.0,29.876,12.6708585039901
2008-08-01,161.987,2008,8,54832.333333333336,196811762.382218,11.3,218.69,6.1,206.5,2.0,116783.0,66280.0,29.876,12.6708585039901
2008-09-01,160.308,2008,9,54386.666666666664,196984550.093428,10.9,218.877,6.1,206.3,1.81,116783.0,66280.0,29.876,12.6708585039901
2008-10-01,158.327,2008,10,53941.0,197147398.688824,11.6,216.995,6.5,201.8,0.97,116783.0,66280.0,29.876,12.6708585039901
2008-11-01,156.142,2008,11,53701.0,197282896.945071,11.4,213.153,6.8,199.6,0.39,116783.0,66280.0,29.876,12.6708585039901
2008-12-01,153.619,2008,12,53461.0,197450491.660518,11.2,211.398,7.3,194.8,0.16,116783.0,66280.0,29.876,12.6708585039901
2009-01-01,151.507,2009,1,53221.0,196957406.258437,12.2,211.933,7.8,193.3,0.15,117181.0,65850.0,32.883,12.8562585688817
2009-02-01,150.015,2009,2,53153.0,197131242.151053,10.5,212.705,8.3,191.2,0.22,117181.0,65850.0,32.883,12.8562585688817
2009-03-01,148.66,2009,3,53085.0,197297625.327139,11.0,212.495,8.7,190.2,0.18,117181.0,65850.0,32.883,12.8562585688817
2009-04-01,147.94899999999998,2009,4,53017.0,197764400.86352,10.7,212.709,9.0,188.1,0.15,117181.0,65850.0,32.883,12.8562585688817
2009-05-01,147.694,2009,5,53038.333333333336,197891272.68780705,9.3,213.022,9.4,186.9,0.18,117181.0,65850.0,32.883,12.8562585688817
2009-06-01,148.09,2009,6,53059.666666666664,197603408.54757705,8.5,214.79,9.5,187.1,0.21,117181.0,65850.0,32.883,12.8562585688817
2009-07-01,148.41,2009,7,53081.0,197766275.014166,7.9,214.726,9.5,187.6,0.16,117181.0,65850.0,32.883,12.8562585688817
2009-08-01,148.278,2009,8,53231.0,198114332.68621105,7.5,215.445,9.6,188.1,0.16,117181.0,65850.0,32.883,12.8562585688817
2009-09-01,148.025,2009,9,53381.0,198363808.252616,7.8,215.861,9.8,189.3,0.15,117181.0,65850.0,32.883,12.8562585688817
2009-10-01,147.85,2009,10,53531.0,198618252.04989,7.4,216.509,10.0,189.7,0.12,117181.0,65850.0,32.883,12.8562585688817
2009-11-01,148.134,2009,11,53581.666666666664,198614188.035042,7.6,217.234,9.9,189.2,0.12,117181.0,65850.0,32.883,12.8562585688817
2009-12-01,147.929,2009,12,53632.333333333336,198623349.131128,8.0,217.347,9.9,189.4,0.12,117181.0,65850.0,32.883,12.8562585688817
2010-01-01,147.39600000000002,2010,1,53683.0,198065211.537052,8.1,217.488,9.8,190.3,0.11,117538.0,64300.0,32.669,13.0281784974361
2010-02-01,145.631,2010,2,53822.0,198329647.91393203,8.3,217.281,9.8,192.2,0.13,117538.0,64300.0,32.669,13.0281784974361
2010-03-01,145.859,2010,3,53961.0,198649626.007924,7.1,217.353,9.9,193.7,0.16,117538.0,64300.0,32.669,13.0281784974361
2010-04-01,146.403,2010,4,54100.0,199115795.460867,6.2,217.403,9.9,196.5,0.2,117538.0,64300.0,32.669,13.0281784974361
2010-05-01,146.394,2010,5,54200.333333333336,199224561.965077,9.3,217.29,9.6,198.9,0.2,117538.0,64300.0,32.669,13.0281784974361
2010-06-01,145.721,2010,6,54300.666666666664,198998357.44226295,8.3,217.199,9.4,197.2,0.18,117538.0,64300.0,32.669,13.0281784974361
2010-07-01,144.991,2010,7,54401.0,199104164.26996,8.9,217.605,9.4,195.6,0.18,117538.0,64300.0,32.669,13.0281784974361
2010-08-01,143.916,2010,8,54457.0,199358427.096852,8.8,217.923,9.5,194.1,0.19,117538.0,64300.0,32.669,13.0281784974361
2010-09-01,143.019,2010,9,54513.0,199592944.422734,7.6,218.275,9.5,193.9,0.19,117538.0,64300.0,32.669,13.0281784974361
2010-10-01,142.531,2010,10,54569.0,199859978.358188,8.2,219.035,9.4,193.8,0.19,117538.0,64300.0,32.669,13.0281784974361
2010-11-01,142.173,2010,11,54493.0,199933691.570699,8.2,219.59,9.8,193.6,0.19,117538.0,64300.0,32.669,13.0281784974361
2010-12-01,142.06,2010,12,54417.0,199962030.403099,7.0,220.472,9.3,194.2,0.18,117538.0,64300.0,32.669,13.0281784974361
2011-01-01,141.52100000000002,2011,1,54341.0,199071788.58297,7.3,221.187,9.1,195.9,0.17,119927.0,63350.0,34.23,13.2702031218742
2011-02-01,140.35,2011,2,54430.666666666664,199329997.658309,8.1,221.898,9.0,198.1,0.16,119927.0,63350.0,34.23,13.2702031218742
2011-03-01,139.981,2011,3,54520.333333333336,199524830.186532,7.2,223.046,9.0,199.7,0.14,119927.0,63350.0,34.23,13.2702031218742
2011-04-01,140.01,2011,4,54610.0,199950249.05044895,6.7,224.093,9.1,201.1,0.1,119927.0,63350.0,34.23,13.2702031218742
2011-05-01,139.905,2011,5,54567.333333333336,200047046.576764,6.6,224.806,9.0,201.6,0.09,119927.0,63350.0,34.23,13.2702031218742
2011-06-01,139.862,2011,6,54524.666666666664,199916426.046807,6.6,224.806,9.1,201.9,0.09,119927.0,63350.0,34.23,13.2702031218742
2011-07-01,139.73,2011,7,54482.0,200019255.615213,6.7,225.395,9.0,202.6,0.07,119927.0,63350.0,34.23,13.2702031218742
2011-08-01,139.309,2011,8,54647.666666666664,200119232.68470705,6.5,226.106,9.0,202.8,0.1,119927.0,63350.0,34.23,13.2702031218742
2011-09-01,138.668,2011,9,54813.333333333336,200263992.82767,6.3,226.597,9.0,202.7,0.08,119927.0,63350.0,34.23,13.2702031218742
2011-10-01,137.952,2011,10,54979.0,200455255.78058,6.0,226.75,8.8,202.7,0.07,119927.0,63350.0,34.23,13.2702031218742
2011-11-01,137.15200000000002,2011,11,55100.0,200413998.083871,5.7,227.169,8.6,202.2,0.08,119927.0,63350.0,34.23,13.2702031218742
2011-12-01,136.674,2011,12,55221.0,200418681.30812705,5.3,227.223,8.5,202.2,0.07,119927.0,63350.0,34.23,13.2702031218742
2012-01-01,136.607,2012,1,55342.0,201013600.78646803,5.3,227.842,8.3,203.9,0.08,121084.0,63350.0,33.283,13.5844369333927
2012-02-01,136.533,2012,2,55391.333333333336,201109580.669277,4.8,228.329,8.3,205.1,0.1,121084.0,63350.0,33.283,13.5844369333927
2012-03-01,137.904,2012,3,55440.666666666664,201200902.24498,4.9,228.807,8.2,205.7,0.13,121084.0,63350.0,33.283,13.5844369333927
2012-04-01,139.154,2012,4,55490.0,201473852.83764,4.9,229.187,8.2,206.3,0.14,121084.0,63350.0,33.283,13.5844369333927
2012-05-01,140.155,2012,5,55478.0,201510859.836736,4.7,228.713,8.2,206.5,0.16,121084.0,63350.0,33.283,13.5844369333927
2012-06-01,141.029,2012,6,55466.0,201441454.973354,4.8,228.524,8.2,206.6,0.16,121084.0,63350.0,33.283,13.5844369333927
2012-07-01,141.66899999999998,2012,7,55454.0,201433691.744108,4.6,228.59,8.2,206.2,0.16,121084.0,63350.0,33.283,13.5844369333927
2012-08-01,142.279,2012,8,55437.0,201502453.159918,4.6,229.918,8.1,205.5,0.13,121084.0,63350.0,33.283,13.5844369333927
2012-09-01,142.908,2012,9,55420.0,201625853.703525,4.5,231.015,7.8,206.6,0.14,121084.0,63350.0,33.283,13.5844369333927
2012-10-01,143.6,2012,10,55403.0,201720006.252997,4.9,231.638,7.8,205.5,0.16,121084.0,63350.0,33.283,13.5844369333927
2012-11-01,144.585,2012,11,55555.0,201769248.477423,4.6,231.249,7.7,205.6,0.16,121084.0,63350.0,33.283,13.5844369333927
2012-12-01,145.503,2012,12,55707.0,201889547.768835,4.5,231.221,7.9,206.4,0.16,121084.0,63350.0,33.283,13.5844369333927
2013-01-01,146.827,2013,1,55859.0,201740179.051336,4.0,231.679,8.0,208.4,0.14,122459.0,65740.0,33.213,13.8910756761845
2013-02-01,147.785,2013,2,55877.333333333336,201880651.538706,4.1,232.937,7.7,209.1,0.15,122459.0,65740.0,33.213,13.8910756761845
2013-03-01,149.963,2013,3,55895.666666666664,202094069.12762,4.2,232.282,7.5,209.8,0.14,122459.0,65740.0,33.213,13.8910756761845
2013-04-01,151.519,2013,4,55914.0,202114411.981009,4.4,231.797,7.6,210.7,0.15,122459.0,65740.0,33.213,13.8910756761845
2013-05-01,152.85,2013,5,56033.333333333336,202298812.143071,4.6,231.893,7.5,209.5,0.11,122459.0,65740.0,33.213,13.8910756761845
2013-06-01,154.19899999999998,2013,6,56152.666666666664,202334797.859025,4.1,232.445,7.5,208.8,0.09,122459.0,65740.0,33.213,13.8910756761845
2013-07-01,155.60399999999998,2013,7,56272.0,202342809.549881,5.5,232.9,7.3,208.3,0.09,122459.0,65740.0,33.213,13.8910756761845
2013-08-01,156.965,2013,8,56395.333333333336,202432246.934181,5.5,233.456,7.2,208.9,0.08,122459.0,65740.0,33.213,13.8910756761845
2013-09-01,158.227,2013,9,56518.666666666664,202612834.796677,5.4,233.544,7.2,208.9,0.08,122459.0,65740.0,33.213,13.8910756761845
2013-10-01,159.24200000000002,2013,10,56642.0,202634154.849124,4.9,233.669,7.2,209.3,0.09,122459.0,65740.0,33.213,13.8910756761845
2013-11-01,160.075,2013,11,56543.0,202701028.713779,5.0,234.1,6.9,209.8,0.08,122459.0,65740.0,33.213,13.8910756761845
2013-12-01,160.994,2013,12,56444.0,202726080.249386,5.2,234.719,6.7,209.8,0.09,122459.0,65740.0,33.213,13.8910756761845
2014-01-01,161.92700000000002,2014,1,56345.0,202492934.990058,5.1,235.288,6.6,211.7,0.07,123229.0,64900.0,33.806,14.1355633751345
2014-02-01,162.525,2014,2,56552.666666666664,202561429.474419,5.3,235.547,6.7,212.7,0.07,123229.0,64900.0,33.806,14.1355633751345
2014-03-01,163.086,2014,3,56760.333333333336,202694172.15927,5.6,236.028,6.7,213.4,0.08,123229.0,64900.0,33.806,14.1355633751345
2014-04-01,163.393,2014,4,56968.0,202799124.484298,5.7,236.468,6.2,213.6,0.09,123229.0,64900.0,33.806,14.1355633751345
2014-05-01,163.66,2014,5,57157.333333333336,202922484.178469,5.2,236.918,6.3,214.3,0.09,123229.0,64900.0,33.806,14.1355633751345
2014-06-01,164.062,2014,6,57346.666666666664,203092828.126113,5.7,237.231,6.1,214.5,0.1,123229.0,64900.0,33.806,14.1355633751345
2014-07-01,164.578,2014,7,57536.0,203115985.414274,6.2,237.498,6.2,214.8,0.09,123229.0,64900.0,33.806,14.1355633751345
2014-08-01,165.215,2014,8,57591.333333333336,203210145.49464905,5.4,237.46,6.1,215.5,0.09,123229.0,64900.0,33.806,14.1355633751345
2014-09-01,165.905,2014,9,57646.666666666664,203260317.08028603,5.4,237.477,5.9,215.7,0.09,123229.0,64900.0,33.806,14.1355633751345
2014-10-01,166.642,2014,10,57702.0,203281628.022833,5.3,237.43,5.7,215.9,0.09,123229.0,64900.0,33.806,14.1355633751345
2014-11-01,167.335,2014,11,57841.666666666664,203370716.173862,5.7,236.983,5.8,215.8,0.09,123229.0,64900.0,33.806,14.1355633751345
2014-12-01,168.051,2014,12,57981.333333333336,203424863.155179,5.1,236.252,5.6,215.5,0.12,123229.0,64900.0,33.806,14.1355633751345
2015-01-01,168.634,2015,1,58121.0,203881341.35219505,4.8,234.747,5.7,215.8,0.11,124587.0,68410.0,34.859,14.3277540980291
2015-02-01,169.13,2015,2,58206.0,203936974.01881,4.5,235.342,5.5,215.3,0.11,124587.0,68410.0,34.859,14.3277540980291
2015-03-01,169.8,2015,3,58291.0,204002384.283532,5.1,235.976,5.4,215.0,0.11,124587.0,68410.0,34.859,14.3277540980291
2015-04-01,170.298,2015,4,58376.0,204016820.66419905,4.9,236.222,5.4,214.5,0.12,124587.0,68410.0,34.859,14.3277540980291
2015-05-01,170.88099999999997,2015,5,58412.666666666664,204232027.93604305,5.0,237.001,5.6,213.7,0.12,124587.0,68410.0,34.859,14.3277540980291
2015-06-01,171.468,2015,6,58449.333333333336,204417687.63879,5.4,237.657,5.3,213.7,0.13,124587.0,68410.0,34.859,14.3277540980291
2015-07-01,172.13099999999997,2015,7,58486.0,204506449.39351895,5.2,238.034,5.2,213.7,0.13,124587.0,68410.0,34.859,14.3277540980291
2015-08-01,172.93599999999998,2015,8,58480.666666666664,204557902.821014,5.0,238.033,5.1,213.3,0.14,124587.0,68410.0,34.859,14.3277540980291
2015-09-01,173.828,2015,9,58475.333333333336,204536920.322261,5.9,237.498,5.0,212.5,0.14,124587.0,68410.0,34.859,14.3277540980291
2015-10-01,174.792,2015,10,58470.0,204577584.842515,5.6,237.733,5.0,212.4,0.12,124587.0,68410.0,34.859,14.3277540980291
2015-11-01,175.738,2015,11,58548.0,204605179.588027,5.5,238.017,5.1,211.7,0.12,124587.0,68410.0,34.859,14.3277540980291
2015-12-01,176.545,2015,12,58626.0,204718625.400822,5.1,237.761,5.0,210.9,0.24,124587.0,68410.0,34.859,14.3277540980291
2016-01-01,177.273,2016,1,58704.0,205107943.30787,5.6,237.652,4.8,211.4,0.34,125819.0,70840.0,37.55,14.672311496844
2016-02-01,177.649,2016,2,58731.666666666664,205160893.78876305,5.5,237.336,4.9,211.3,0.38,125819.0,70840.0,37.55,14.672311496844
2016-03-01,178.165,2016,3,58759.333333333336,205293260.649971,5.5,238.08,5.0,211.6,0.36,125819.0,70840.0,37.55,14.672311496844
2016-04-01,178.767,2016,4,58787.0,205240952.721374,5.0,238.992,5.1,212.7,0.37,125819.0,70840.0,37.55,14.672311496844
2016-05-01,179.43,2016,5,58886.0,205443695.43154,5.1,239.557,4.8,213.7,0.37,125819.0,70840.0,37.55,14.672311496844
2016-06-01,180.08,2016,6,58985.0,205612263.741236,5.3,240.222,4.9,214.6,0.38,125819.0,70840.0,37.55,14.672311496844
2016-07-01,180.832,2016,7,59084.0,205723009.48766,4.5,240.101,4.8,215.3,0.39,125819.0,70840.0,37.55,14.672311496844
2016-08-01,181.852,2016,8,59154.666666666664,205722118.07776,5.0,240.545,4.9,216.0,0.4,125819.0,70840.0,37.55,14.672311496844
2016-09-01,182.824,2016,9,59225.333333333336,205758207.661835,5.2,241.176,5.0,215.3,0.4,125819.0,70840.0,37.55,14.672311496844
2016-10-01,183.752,2016,10,59296.0,205820559.12200695,5.2,241.741,4.9,214.8,0.4,125819.0,70840.0,37.55,14.672311496844
2016-11-01,184.76,2016,11,59362.0,205809150.763684,5.2,242.026,4.7,214.5,0.41,125819.0,70840.0,37.55,14.672311496844
2016-12-01,185.725,2016,12,59428.0,205947149.215825,5.4,242.637,4.7,215.5,0.54,125819.0,70840.0,37.55,14.672311496844
2017-01-01,186.801,2017,1,59494.0,205341373.943927,5.4,243.618,4.7,217.3,0.65,126224.0,72090.0,35.771,15.0662903997382
2017-02-01,187.312,2017,2,59574.666666666664,205348420.244582,5.3,244.006,4.6,218.8,0.66,126224.0,72090.0,35.771,15.0662903997382
2017-03-01,187.991,2017,3,59655.333333333336,205265464.362687,5.0,243.892,4.4,219.7,0.79,126224.0,72090.0,35.771,15.0662903997382
2017-04-01,188.724,2017,4,59736.0,205392169.453776,5.4,244.193,4.4,221.0,0.9,126224.0,72090.0,35.771,15.0662903997382
2017-05-01,189.617,2017,5,59857.0,205501946.665678,5.1,244.004,4.4,221.7,0.91,126224.0,72090.0,35.771,15.0662903997382
2017-06-01,190.51,2017,6,59978.0,205688251.205509,5.3,244.163,4.3,221.9,1.04,126224.0,72090.0,35.771,15.0662903997382
2017-07-01,191.451,2017,7,60099.0,205740836.169578,5.8,244.243,4.3,221.9,1.15,126224.0,72090.0,35.771,15.0662903997382
2017-08-01,192.667,2017,8,60290.666666666664,205723613.844996,6.1,245.183,4.4,222.4,1.16,126224.0,72090.0,35.771,15.0662903997382
2017-09-01,193.763,2017,9,60482.333333333336,205704970.924289,5.3,246.435,4.3,223.1,1.15,126224.0,72090.0,35.771,15.0662903997382
2017-10-01,194.811,2017,10,60674.0,205670408.394115,5.5,246.626,4.2,223.9,1.15,126224.0,72090.0,35.771,15.0662903997382
2017-11-01,195.962,2017,11,60813.666666666664,205656877.8503,4.8,247.284,4.2,223.9,1.16,126224.0,72090.0,35.771,15.0662903997382
2017-12-01,197.176,2017,12,60953.333333333336,205800595.64941695,5.6,247.805,4.1,224.1,1.3,126224.0,72090.0,35.771,15.0662903997382
2018-01-01,198.303,2018,1,61093.0,206339378.419178,6.0,248.859,4.0,225.8,1.41,127586.0,73030.0,38.859,15.3976975750778
2018-02-01,199.217,2018,2,61174.0,206307462.824439,5.7,249.529,4.1,228.7,1.42,127586.0,73030.0,38.859,15.3976975750778
2018-03-01,199.954,2018,3,61255.0,206369738.227738,5.2,249.577,4.0,231.3,1.51,127586.0,73030.0,38.859,15.3976975750778
2018-04-01,200.654,2018,4,61336.0,206274935.365562,5.6,250.227,4.0,232.4,1.69,127586.0,73030.0,38.859,15.3976975750778
2018-05-01,201.428,2018,5,61431.333333333336,206525427.999221,5.5,250.792,3.8,236.8,1.7,127586.0,73030.0,38.859,15.3976975750778
2018-06-01,202.238,2018,6,61526.666666666664,206661184.65188,5.8,251.018,4.0,239.2,1.82,127586.0,73030.0,38.859,15.3976975750778
2018-07-01,202.912,2018,7,61622.0,206659777.11561295,6.0,251.214,3.8,239.6,1.91,127586.0,73030.0,38.859,15.3976975750778
2018-08-01,203.697,2018,8,61621.0,206664712.900867,6.5,251.663,3.8,239.4,1.91,127586.0,73030.0,38.859,15.3976975750778
2018-09-01,204.365,2018,9,61620.0,206654330.097875,6.6,252.182,3.7,240.0,1.95,127586.0,73030.0,38.859,15.3976975750778
2018-10-01,205.138,2018,10,61619.0,206620708.24887905,7.2,252.772,3.8,238.7,2.19,127586.0,73030.0,38.859,15.3976975750778
2018-11-01,205.685,2018,11,61709.0,206643656.57961,6.4,252.594,3.8,238.8,2.2,127586.0,73030.0,38.859,15.3976975750778
2018-12-01,206.161,2018,12,61799.0,206762878.623716,7.6,252.767,3.9,238.3,2.27,127586.0,73030.0,38.859,15.3976975750778
2019-01-01,206.517,2019,1,61889.0,206187752.561887,7.0,252.718,4.0,238.5,2.4,128579.0,78250.0,40.185,15.7918008297391
2019-02-01,206.817,2019,2,62036.333333333336,206154545.46956903,6.4,253.322,3.8,238.1,2.4,128579.0,78250.0,40.185,15.7918008297391
2019-03-01,207.024,2019,3,62183.666666666664,206099024.77024505,5.7,254.202,3.8,238.1,2.41,128579.0,78250.0,40.185,15.7918008297391
2019-04-01,207.506,2019,4,62331.0,206170068.640731,5.8,255.211,3.6,237.2,2.42,128579.0,78250.0,40.185,15.7918008297391
2019-05-01,208.148,2019,5,62535.666666666664,206451313.15124,6.7,255.29,3.7,237.3,2.39,128579.0,78250.0,40.185,15.7918008297391
2019-06-01,208.67,2019,6,62740.333333333336,206564990.504277,5.2,255.159,3.6,236.3,2.38,128579.0,78250.0,40.185,15.7918008297391
2019-07-01,209.277,2019,7,62945.0,206412025.16746095,5.9,255.685,3.7,235.6,2.4,128579.0,78250.0,40.185,15.7918008297391
2019-08-01,210.12,2019,8,63049.0,206409591.62938,5.4,256.059,3.7,234.4,2.13,128579.0,78250.0,40.185,15.7918008297391
2019-09-01,210.93400000000003,2019,9,63153.0,206341688.662982,5.4,256.511,3.5,234.4,2.04,128579.0,78250.0,40.185,15.7918008297391
2019-10-01,211.844,2019,10,63257.0,206244263.932141,5.3,257.244,3.6,233.8,1.83,128579.0,78250.0,40.185,15.7918008297391
